,word1,word2,bigram,freq.w1,freq.w2,freq.bi,human.eval
1,차NNG을JKO,타VV,차NNG을JKO 타VV,44,120,17,FALSE
4,신문NNG을JKO,보VV,신문NNG을JKO 보VV,20,1238,12,FALSE
5,노력NNG을JKO,하VV,노력NNG을JKO 하VV,39,7312,35,TRUE
8,시작NNG을JKO,하VV,시작NNG을JKO 하VV,52,7312,50,TRUE
9,자리NNG을JKO,차지NNG하XSV,자리NNG을JKO 차지NNG하XSV,37,25,3,FALSE
13,운전NNG을JKO,하VV,운전NNG을JKO 하VV,11,7312,11,TRUE
18,비교NNG을JKO,하VV,비교NNG을JKO 하VV,28,7312,23,TRUE
20,학NNG을JKO,때VV,학NNG을JKO 때VV,3,8,2,TRUE
22,애NNG을JKO,쓰VV,애NNG을JKO 쓰VV,41,509,8,TRUE
23,눈치NNG을JKO,보VV,눈치NNG을JKO 보VV,12,1238,5,TRUE
25,얘기NNG을JKO,하VV,얘기NNG을JKO 하VV,990,7312,886,TRUE
27,지하철NNG을JKO,타VV,지하철NNG을JKO 타VV,4,120,4,FALSE
28,차NNG을JKO,사VV,차NNG을JKO 사VV,44,157,4,FALSE
29,욕NNG을JKO,하VV,욕NNG을JKO 하VV,18,7312,11,TRUE
31,생각NNG을JKO,하VV,생각NNG을JKO 하VV,656,7312,614,TRUE
42,신규NNG을JKO,하VV,신규NNG을JKO 하VV,3,7312,2,FALSE
48,제시NNG을JKO,하VV,제시NNG을JKO 하VV,37,7312,34,TRUE
56,운동NNG을JKO,하VV,운동NNG을JKO 하VV,53,7312,46,TRUE
58,밥NNG을JKO,먹VV,밥NNG을JKO 먹VV,52,244,35,FALSE
62,점심NNG을JKO,먹VV,점심NNG을JKO 먹VV,9,244,3,FALSE
63,저녁NNG을JKO,먹VV,저녁NNG을JKO 먹VV,3,244,3,FALSE
65,연봉NNG을JKO,올리VV,연봉NNG을JKO 올리VV,3,47,2,FALSE
71,뉴스NNG을JKO,보VV,뉴스NNG을JKO 보VV,6,1238,4,FALSE
